"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"527",01:19:00,1.8,3,21.8,"missed",3.2,1,2,1
"528",01:07:00,15,4,22.8,"missed",4.7,1,3,0
"529",01:57:00,11.5,5,24.4,"made",1.7,2,3,0
"530",01:14:00,13.7,6,5.7,"made",10.3,2,2,10
"531",10:26:00,3.9,7,23.8,"missed",7.8,3,2,4
"532",09:34:00,7.4,8,4.7,"made",0.1,3,2,0
"533",08:20:00,11.8,9,24.5,"made",1.3,3,3,0
"534",03:54:00,11.6,10,3.6,"made",0.8,3,2,1
"535",02:05:00,11.3,11,25.9,"missed",1.3,3,3,0
"536",11:27:00,9.4,12,22,"made",2,4,2,0
"537",10:12:00,19,13,2.4,"made",0.3,4,2,0
"538",04:21:00,14.3,14,2.4,"missed",10,4,2,11
"539",03:44:00,2.4,15,7,"made",8.2,4,2,5
"540",08:22:00,9,1,4.8,"missed",2.3,1,2,2
"541",07:23:00,7.8,2,19.2,"missed",6.3,1,2,0
"542",04:02:00,5.2,3,23.1,"made",2.8,1,3,0
"543",03:11:00,15.6,4,1.7,"missed",8.2,1,2,10
"544",02:58:00,20,5,1.3,"made",2,1,2,1
"545",01:02:00,6.2,6,27.8,"missed",0.9,1,3,0
"546",06:08:00,19.9,7,4.3,"missed",2.4,2,2,2
"547",01:36:00,21,8,2.1,"made",2.5,2,2,2
"548",00:33:00,20.4,9,7.3,"missed",3.5,2,2,5
"549",11:41:00,4.9,10,16.4,"missed",2.5,3,2,2
"550",06:04:00,8.6,11,8.1,"missed",10.2,3,2,13
"551",02:26:00,19,12,8.2,"made",4.9,3,2,6
"552",01:46:00,1.7,13,7,"missed",21.5,3,2,26
"553",01:26:00,18,14,3,"missed",5,3,2,4
"554",05:55:00,0.6,15,14.9,"made",13.8,4,2,11
"555",04:42:00,15.7,16,25.9,"made",1,4,3,0
"556",04:17:00,19.3,17,5.8,"made",4.3,4,2,4
"557",01:29:00,6.1,18,25.2,"missed",11.8,4,3,0
"558",11:27:00,12.7,1,20.8,"missed",3.9,1,2,0
"559",07:19:00,5.1,2,4.2,"missed",3.2,1,2,3
"560",05:55:00,20.8,3,4.5,"made",0.8,1,2,0
"561",05:36:00,21.4,4,3.6,"made",4.3,1,2,3
"562",05:02:00,20.6,5,4.8,"made",2.1,1,2,1
"563",02:12:00,14.1,6,1.6,"made",2,1,2,1
"564",00:46:00,4.2,7,21.7,"missed",4.4,1,2,3
